time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.0,,0.293503,-0.092803,0.314738,-0.113438,-0.154972
0.02,,0.2934449999999999,-0.092968,0.315143,-0.113476,-0.154807
0.04,,,,0.315974,-0.113521,-0.1544289999999999
0.06,,0.293285,-0.093356,0.316709,-0.1135549999999999,-0.154063
0.08,0.1636109999999999,0.2932369999999999,-0.093475,0.317206,-0.113534,-0.153886
0.1,0.163378,0.293203,-0.093658,,,
0.12,0.163139,0.29319,-0.093735,0.317727,-0.113348,-0.153788
0.14,0.162951,0.293191,-0.093861,0.318036,-0.1134059999999999,-0.153694
0.16,0.162694,0.293186,-0.093938,0.318384,-0.1133609999999999,-0.153573
0.18,0.162519,0.293118,-0.094113,0.318659,-0.113598,-0.153543
0.2,0.162273,0.293101,-0.094198,0.318905,-0.113579,-0.1535109999999999
0.22,0.162064,0.293084,-0.094333,0.319166,-0.113712,-0.153525
0.24,0.161863,0.293077,-0.094401,0.319501,-0.11373,-0.153418
0.26,0.161767,0.293065,-0.09449,0.319951,-0.1140019999999999,-0.153337
0.28,0.161696,0.29307,-0.094539,0.320606,-0.114193,-0.153119
0.3,0.161724,0.29315,-0.094562,0.321484,-0.114718,-0.152864
0.32,0.161818,0.293317,-0.094441,,,
0.34,0.1620079999999999,0.293513,-0.0943809999999999,0.323986,-0.1161089999999999,-0.151871
0.36,0.162204,0.293671,-0.094338,0.325205,-0.116668,-0.151344
0.38,,,,0.326148,-0.117366,-0.151026
0.4,0.162706,0.293697,-0.094541,0.3271199999999999,-0.11787,-0.150724
0.42,0.162943,0.293628,-0.094772,0.328016,-0.118543,-0.1504869999999999
0.44,,,,0.32887,-0.1190329999999999,-0.150186
0.46,0.163276,0.2935239999999999,-0.095178,0.329453,-0.119691,-0.149993
0.48,0.163197,0.293579,-0.095236,0.329861,-0.120026,-0.149829
0.5,0.163136,0.293566,-0.095376,0.330137,-0.120426,-0.149824
0.52,0.16296,0.293585,-0.095382,0.330342,-0.120528,-0.149855
0.54,,,,0.330426,-0.120754,-0.1499849999999999
0.56,0.1625579999999999,0.293491,-0.09564,0.330437,-0.120852,-0.150094
0.58,0.162372,0.2934219999999999,-0.095743,0.330277,-0.1208559999999999,-0.1501839999999999
0.6,0.16209,0.293416,-0.0957549999999999,0.330102,-0.120801,-0.150312
0.62,0.161854,0.293321,-0.095805,0.32986,-0.1207849999999999,-0.150447
0.64,0.161576,0.293303,-0.095784,0.329667,-0.120848,-0.150648
0.66,0.1613609999999999,0.29318,-0.095962,0.329349,-0.1210329999999999,-0.150781
0.68,0.161064,0.293102,-0.0961,0.329052,-0.121071,-0.150954
0.7,0.1608619999999999,0.292894,-0.096453,,,
0.72,0.16062,0.292727,-0.096764,0.328633,-0.120899,-0.151299
0.74,0.160492,0.2924989999999999,-0.097211,0.328307,-0.120846,-0.151474
0.76,0.160433,0.29235,-0.0975549999999999,,,
0.78,0.1605869999999999,0.292216,-0.097888,0.32718,-0.120569,-0.151857
0.8,0.160747,0.2922369999999999,-0.097941,0.326502,-0.120278,-0.151947
0.82,0.161184,0.292274,-0.098106,0.325658,-0.1199,-0.151997
0.84,0.161686,0.292469,-0.09816,0.324938,-0.119291,-0.151979
0.86,,,,0.324152,-0.118795,-0.151903
0.88,0.163874,0.293693,-0.097435,0.323502,-0.11828,-0.1517599999999999
0.9,0.1655599999999999,0.294896,-0.096565,0.322625,-0.1178599999999999,-0.1517
0.92,0.167223,0.2961809999999999,-0.0957929999999999,0.321742,-0.117416,-0.151509
0.94,0.170151,0.297711,-0.094724,0.32065,-0.1170359999999999,-0.151228
0.96,0.174255,0.299357,-0.093907,0.320129,-0.116476,-0.150814
0.98,0.180806,0.301454,-0.0929379999999999,0.320417,-0.116526,-0.150501
1.0,0.190984,0.3032809999999999,-0.091484,0.32142,-0.1171359999999999,-0.150533
1.02,0.208375,0.3049739999999999,-0.093212,0.322403,-0.117834,-0.150833
1.04,0.235202,0.303586,-0.0956419999999999,0.323615,-0.118046,-0.151464
1.06,0.264583,0.295216,-0.099694,0.324782,-0.118214,-0.152469
1.08,0.289916,0.278062,-0.109098,0.325825,-0.118021,-0.153429
1.1,,,,0.326914,-0.1174569999999999,-0.154525
1.12,,,,0.3279829999999999,-0.1162359999999999,-0.155596
1.14,0.308262,0.225865,-0.138456,,,
1.16,0.312373,0.229231,-0.130029,0.329107,-0.114379,-0.157783
1.18,0.311947,0.230907,-0.128745,,,
1.2,0.310147,0.228955,-0.131774,,,
1.22,0.311436,0.228066,-0.131145,0.329461,-0.111891,-0.162135
1.24,0.313981,0.2283489999999999,-0.129709,0.329234,-0.110331,-0.1637819999999999
1.26,,,,0.328501,-0.109297,-0.165369
1.28,0.315666,0.227511,-0.130189,0.327765,-0.1086849999999999,-0.166632
1.3,0.316087,0.2274449999999999,-0.130423,0.327339,-0.107922,-0.167471
1.32,0.316388,0.227459,-0.13043,0.327017,-0.1072119999999999,-0.168096
1.34,0.316691,0.22737,-0.13065,0.326754,-0.1066319999999999,-0.168399
1.36,0.31688,0.227479,-0.1307559999999999,,,
1.38,,,,0.326323,-0.105405,-0.168509
1.4,0.317777,0.227115,-0.13104,0.326188,-0.1050369999999999,-0.168559
1.42,0.318387,0.226848,-0.1309799999999999,0.326151,-0.104557,-0.168542
1.44,0.318996,0.226709,-0.130974,0.3261,-0.104015,-0.168599
1.46,0.319488,0.226586,-0.131114,0.3260659999999999,-0.10349,-0.168714
1.48,0.319863,0.22646,-0.131199,,,
1.5,0.320015,0.226265,-0.1312559999999999,0.325938,-0.102727,-0.168969
1.52,0.320004,0.226057,-0.131369,0.325779,-0.102646,-0.169128
1.54,0.319941,0.2259179999999999,-0.131608,0.325605,-0.102528,-0.169368
1.56,,,,0.3254309999999999,-0.102376,-0.1696
1.58,0.31978,0.225957,-0.1323119999999999,0.325305,-0.1021659999999999,-0.169777
1.6,0.319658,0.226113,-0.132563,0.32516,-0.101935,-0.169748
1.62,0.319412,0.226471,-0.132742,0.324989,-0.101629,-0.169728
1.64,0.319025,0.226955,-0.1331,0.324826,-0.101274,-0.1696359999999999
1.66,0.318453,0.227791,-0.1334769999999999,0.32459,-0.100878,-0.169658
1.68,0.317928,0.228436,-0.133946,0.324333,-0.100469,-0.1696109999999999
1.7,0.317396,0.229182,-0.134312,0.324046,-0.0999289999999999,-0.169643
1.72,0.316979,0.229605,-0.1348329999999999,0.3236719999999999,-0.099199,-0.169895
1.74,0.316606,0.230109,-0.134932,0.322661,-0.098315,-0.171057
1.76,,,,0.321776,-0.097559,-0.172309
1.78,0.315819,0.2307409999999999,-0.135615,0.321135,-0.096639,-0.172984
1.8,0.31506,0.2309679999999999,-0.1361359999999999,0.320378,-0.096322,-0.173195
1.82,0.314288,0.231117,-0.136464,0.319235,-0.09525,-0.1734099999999999
1.84,,,,0.318677,-0.094621,-0.173468
1.86,0.312903,0.2306889999999999,-0.137231,0.318557,-0.094411,-0.173366
1.88,0.31223,0.230109,-0.137783,0.318661,-0.094693,-0.172846
1.9,0.311375,0.229706,-0.138272,0.318893,-0.095183,-0.171944
1.92,0.3105469999999999,0.229394,-0.138716,0.319261,-0.0958,-0.170595
1.94,,,,0.319629,-0.096738,-0.169094
1.96,0.307925,0.230154,-0.138816,0.319579,-0.097439,-0.167738
1.98,0.306419,0.2313469999999999,-0.138402,0.3195119999999999,-0.098008,-0.16687
2.0,0.304779,0.232975,-0.137938,0.319426,-0.098664,-0.165981
2.02,0.303011,0.23473,-0.137222,0.319305,-0.099122,-0.165406
2.04,0.30148,0.236392,-0.136534,0.319181,-0.09978,-0.164731
2.06,0.300064,0.2381889999999999,-0.135683,0.319304,-0.10054,-0.163923
2.08,0.2984,0.24055,-0.135061,0.3196699999999999,-0.101265,-0.1627819999999999
2.1,0.296453,0.243409,-0.1345029999999999,0.320244,-0.101694,-0.161693
2.12,0.293582,0.2477889999999999,-0.134332,0.32082,-0.102271,-0.160513
2.14,0.29031,0.251336,-0.134197,,,
2.16,,,,0.322363,-0.103843,-0.1577849999999999
2.18,0.282531,0.257782,-0.13574,0.323688,-0.104764,-0.156068
2.2,0.278557,0.259661,-0.137157,0.325378,-0.106234,-0.15374
2.22,0.275608,0.261021,-0.1380019999999999,0.328411,-0.108076,-0.150284
2.24,0.273948,0.262212,-0.138251,0.332293,-0.110646,-0.145656
2.26,0.273019,0.263499,-0.138165,0.336877,-0.113329,-0.139623
2.28,0.272667,0.264681,-0.138119,0.341011,-0.116098,-0.132598
2.3,0.272729,0.265953,-0.137501,0.344628,-0.1187309999999999,-0.125024
2.32,,,,,,
2.34,0.274229,0.268762,-0.134956,0.348486,-0.124597,-0.110481
2.36,0.274959,0.27011,-0.133737,0.348537,-0.128143,-0.103873
2.38,0.275184,0.271327,-0.1328109999999999,0.348471,-0.131552,-0.097827
2.4,0.2750039999999999,0.272491,-0.132138,0.347878,-0.134663,-0.092649
2.42,0.2745329999999999,0.273925,-0.131248,,,
2.44,0.273828,0.2746989999999999,-0.131386,0.347362,-0.13904,-0.084147
2.46,0.27161,0.274115,-0.133915,,,
2.48,0.268071,0.272758,-0.137535,0.3472639999999999,-0.141483,-0.078646
2.5,0.264918,0.271957,-0.139798,0.347582,-0.141696,-0.077106
2.52,0.263106,0.272131,-0.1402119999999999,,,
2.54,0.262185,0.272565,-0.1400279999999999,0.348355,-0.14115,-0.076283
2.56,0.261421,0.2727159999999999,-0.139926,0.348648,-0.140869,-0.076498
2.58,,,,0.348953,-0.140731,-0.0766029999999999
2.6,0.258792,0.272553,-0.140878,0.34906,-0.14068,-0.076863
2.62,0.257051,0.272443,-0.141757,0.349042,-0.140529,-0.077145
2.64,0.255004,0.272407,-0.14278,0.34914,-0.14039,-0.077345
2.66,0.253399,0.272275,-0.143824,0.349296,-0.140643,-0.076971
2.68,,,,0.349709,-0.140963,-0.0762429999999999
2.7,0.252485,0.272201,-0.144282,0.350242,-0.141791,-0.07503
2.72,0.252336,0.271908,-0.14451,0.351488,-0.143734,-0.072479
2.74,0.252208,0.271561,-0.144714,0.352107,-0.147474,-0.06822
2.76,0.251894,0.271409,-0.144703,0.352301,-0.152573,-0.062271
2.78,0.251505,0.27132,-0.144672,0.350486,-0.159348,-0.0538649999999999
2.8,0.250415,0.271593,-0.144246,0.348514,-0.166893,-0.0448779999999999
2.82,0.249284,0.271943,-0.143844,0.3425559999999999,-0.174427,-0.034385
2.84,0.2483389999999999,0.27232,-0.143188,0.33764,-0.182221,-0.025161
2.86,0.2478429999999999,0.272551,-0.1426859999999999,0.32903,-0.187954,-0.017319
2.88,,,,0.321398,-0.193022,-0.011959
2.9,0.24699,0.273082,-0.141834,0.314392,-0.196569,-0.009257
2.92,0.2466269999999999,0.273147,-0.141739,0.310478,-0.198919,-0.008414
2.94,0.2460969999999999,0.272944,-0.142122,0.308703,-0.199814,-0.008288
2.96,0.245441,0.272742,-0.142443,,,
2.98,0.244742,0.272551,-0.142791,0.311278,-0.200077,-0.007693
3.0,0.243959,0.272685,-0.14278,0.31335,-0.2000019999999999,-0.008228
3.02,0.243413,0.272802,-0.1426869999999999,0.314658,-0.200054,-0.009468
3.04,0.243094,0.272894,-0.142516,0.315336,-0.200127,-0.010929
3.06,0.243051,0.272861,-0.142361,0.315342,-0.200416,-0.012856
3.08,0.242912,0.2731639999999999,-0.141921,0.315118,-0.200521,-0.0143229999999999
3.1,0.2425719999999999,0.273503,-0.141449,0.315165,-0.200613,-0.015961
3.12,0.241942,0.273942,-0.140951,0.315523,-0.200973,-0.017643
3.14,0.241319,0.274255,-0.140543,0.315725,-0.2013579999999999,-0.019352
3.16,0.240882,0.2745309999999999,-0.139964,0.316161,-0.2016619999999999,-0.021118
3.18,,,,0.316262,-0.201901,-0.022616
3.2,,,,0.316469,-0.201951,-0.023828
3.22,,,,,,
3.24,0.241713,0.274694,-0.138196,0.3169889999999999,-0.202836,-0.026273
3.26,0.242319,0.2746,-0.137877,0.317189,-0.203104,-0.027829
3.28,0.243211,0.274667,-0.137271,0.317106,-0.2033319999999999,-0.0289839999999999
3.3,0.244265,0.274936,-0.136443,0.316504,-0.203754,-0.0304529999999999
3.32,0.2454239999999999,0.275418,-0.135296,0.315847,-0.2040819999999999,-0.0325149999999999
3.34,0.246283,0.2762679999999999,-0.133928,0.315472,-0.2040529999999999,-0.03492
3.36,0.247192,0.276944,-0.132455,0.31531,-0.204083,-0.037388
3.38,0.247796,0.277513,-0.131252,0.315436,-0.204129,-0.039693
3.4,0.248338,0.277865,-0.130057,0.315876,-0.2039,-0.042156
3.42,0.248937,0.278508,-0.128718,0.316623,-0.203716,-0.044606
3.44,0.249743,0.279006,-0.127291,0.317632,-0.20338,-0.047485
3.46,0.25077,0.279577,-0.125783,0.3185949999999999,-0.202821,-0.0503889999999999
3.48,0.251784,0.280388,-0.124091,0.3196199999999999,-0.202416,-0.053369
3.5,0.252732,0.281596,-0.122054,,,
3.52,0.253888,0.283006,-0.119474,0.32113,-0.2018339999999999,-0.058039
3.54,0.254738,0.28458,-0.116794,0.321346,-0.201841,-0.059932
3.56,0.255062,0.28684,-0.113854,,,
3.58,0.2546719999999999,0.289601,-0.110501,0.320796,-0.202396,-0.063496
